"Lemma" "Source"
"1" "1" "first"
"2" "10" "tenth"
"3" "100" "hundredth"
"4" "1000" "thousandth"
"5" "1000000" "millionth"
"6" "1000000000" "billionth"
"7" "11" "eleventh"
"8" "12" "twelfth"
"9" "13" "thirteenth"
"10" "14" "fourteenth"
"11" "15" "fifteenth"
"12" "16" "sixteenth"
"13" "17" "seventeenth"
"14" "18" "eighteenth"
"15" "19" "nineteenth"
"16" "2" "second"
"17" "20" "twentieth"
"18" "200" "two-hundredth"
"19" "21" "twenty-first"
"20" "22" "twenty-second"
"21" "23" "twenty-third"
"22" "24" "twenty-fourth"
"23" "25" "twenty-fifth"
"24" "26" "twenty-sixth"
"25" "27" "twenty-seventh"
"26" "28" "twenty-eighth"
"27" "29" "twenty-ninth"
"28" "3" "third"
"29" "30" "thirtieth"
"30" "300" "three-hundredth"
"31" "31" "thirty-first"
"32" "32" "thirty-second"
"33" "33" "thirty-third"
"34" "34" "thirty-fourth"
"35" "35" "thirty-fifth"
"36" "36" "thirty-sixth"
"37" "37" "thirty-seventh"
"38" "38" "thirty-eighth"
"39" "39" "thirty-ninth"
"40" "4" "fourth"
"41" "40" "fortieth"
"42" "400" "four-hundredth"
"43" "41" "forty-first"
"44" "42" "forty-second"
"45" "43" "forty-third"
"46" "44" "forty-fourth"
"47" "45" "forty-fifth"
"48" "46" "forty-sixth"
"49" "47" "forty-seventh"
"50" "48" "forty-eighth"
"51" "49" "forty-ninth"
"52" "5" "fifth"
"53" "50" "fiftieth"
"54" "500" "five-hundredth"
"55" "51" "fifty-first"
"56" "52" "fifty-second"
"57" "53" "fifty-third"
"58" "54" "fifty-fourth"
"59" "55" "fifty-fifth"
"60" "56" "fifty-sixth"
"61" "57" "fifty-seventh"
"62" "58" "fifty-eighth"
"63" "59" "fifty-ninth"
"64" "6" "sixth"
"65" "60" "sixtieth"
"66" "600" "six-hundredth"
"67" "61" "sixty-first"
"68" "62" "sixty-second"
"69" "63" "sixty-third"
"70" "64" "sixty-fourth"
"71" "65" "sixty-fifth"
"72" "66" "sixty-sixth"
"73" "67" "sixty-seventh"
"74" "68" "sixty-eighth"
"75" "69" "sixty-ninth"
"76" "7" "seventh"
"77" "70" "seventieth"
"78" "700" "seven-hundredth"
"79" "71" "seventy-first"
"80" "72" "seventy-second"
"81" "73" "seventy-third"
"82" "74" "seventy-fourth"
"83" "75" "seventy-fifth"
"84" "76" "seventy-sixth"
"85" "77" "seventy-seventh"
"86" "78" "seventy-eighth"
"87" "79" "seventy-ninth"
"88" "8" "eighth"
"89" "80" "eightieth"
"90" "800" "eight-hundredth"
"91" "81" "eighty-first"
"92" "82" "eighty-second"
"93" "83" "eighty-third"
"94" "84" "eighty-fourth"
"95" "85" "eighty-fifth"
"96" "86" "eighty-sixth"
"97" "87" "eighty-seventh"
"98" "88" "eighty-eighth"
"99" "89" "eighty-ninth"
"100" "9" "ninth"
"101" "90" "ninetieth"
"102" "900" "nine-hundredth"
"103" "91" "ninety-first"
"104" "92" "ninety-second"
"105" "93" "ninety-third"
"106" "94" "ninety-fourth"
"107" "95" "ninety-fifth"
"108" "96" "ninety-sixth"
"109" "97" "ninety-seventh"
"110" "98" "ninety-eighth"
"111" "99" "ninety-ninth"
"112" "a" "an"
"113" "a" "as"
"114" "aardvark" "aardvarks"
"115" "ab" "abs"
"116" "abacus" "abaci"
"117" "abacus" "abacuses"
"118" "abalone" "abalones"
"119" "abandon" "abandoned"
"120" "abandon" "abandoning"
"121" "abandon" "abandons"
"122" "abase" "abased"
"123" "abase" "abases"
"124" "abase" "abasing"
"125" "abash" "abashed"
"126" "abash" "abashes"
"127" "abash" "abashing"
"128" "abate" "abated"
"129" "abate" "abates"
"130" "abate" "abating"
"131" "abatement" "abatements"
"132" "abattoir" "abattoirs"
"133" "abbess" "abbesses"
"134" "abbey" "abbeys"
"135" "abbot" "abbots"
"136" "abbreviate" "abbreviated"
"137" "abbreviate" "abbreviates"
"138" "abbreviate" "abbreviating"
"139" "abbreviation" "abbreviations"
"140" "abcess" "abcesses"
"141" "abdicate" "abdicated"
"142" "abdicate" "abdicates"
"143" "abdicate" "abdicating"
"144" "abdication" "abdications"
"145" "abdomen" "abdomens"
"146" "abdomen" "abdomina"
"147" "abdominal" "abdominals"
"148" "abduct" "abducted"
"149" "abduct" "abducting"
"150" "abduct" "abducts"
"151" "abduction" "abductions"
"152" "abductor" "abductors"
"153" "aberration" "aberrations"
"154" "abet" "abets"
"155" "abet" "abetted"
"156" "abet" "abetting"
"157" "abhor" "abhorred"
"158" "abhor" "abhorring"
"159" "abhor" "abhors"
"160" "abide" "abided"
"161" "abide" "abides"
"162" "abide" "abiding"
"163" "abide" "abode"
"164" "ability" "abilities"
"165" "abject" "abjected"
"166" "abject" "abjecting"
"167" "abject" "abjects"
"168" "abjecter" "abjecters"
"169" "abjure" "abjured"
"170" "abjure" "abjures"
"171" "abjure" "abjuring"
"172" "ablate" "ablated"
"173" "ablate" "ablates"
"174" "ablate" "ablating"
"175" "ablation" "ablations"
"176" "able" "abler"
"177" "able" "ablest"
"178" "ablution" "ablutions"
"179" "abnormality" "abnormalities"
"180" "abode" "abodes"
"181" "abolish" "abolished"
"182" "abolish" "abolishes"
"183" "abolish" "abolishing"
"184" "abolition" "abolitions"
"185" "abolitionist" "abolitionists"
"186" "A-bomb" "A-bombs"
"187" "abominate" "abominated"
"188" "abominate" "abominates"
"189" "abominate" "abominating"
"190" "abomination" "abominations"
"191" "aboriginal" "aboriginals"
"192" "Aborigine" "Aborigines"
"193" "abort" "aborted"
"194" "abort" "aborting"
"195" "abort" "aborts"
"196" "abortifacient" "abortifacients"
"197" "abortion" "abortions"
"198" "abortionist" "abortionists"
"199" "abound" "abounded"
"200" "abound" "abounding"
"201" "abound" "abounds"
"202" "about-face" "about-faces"
"203" "about-turn" "about-turns"
"204" "abrade" "abraded"
"205" "abrade" "abrades"
"206" "abrade" "abrading"
"207" "abrasion" "abrasions"
"208" "abrasive" "abrasives"
"209" "abreaction" "abreactions"
"210" "abridge" "abridged"
"211" "abridge" "abridges"
"212" "abridge" "abridging"
"213" "abridgement" "abridgements"
"214" "abridgment" "abridgments"
"215" "abrogate" "abrogated"
"216" "abrogate" "abrogates"
"217" "abrogate" "abrogating"
"218" "abrogation" "abrogations"
"219" "abrupt" "abrupter"
"220" "abrupt" "abruptest"
"221" "abruption" "abruptions"
"222" "abscess" "abscesses"
"223" "abscissa" "abscissae"
"224" "abscissa" "abscissas"
"225" "abscond" "absconded"
"226" "abscond" "absconding"
"227" "abscond" "absconds"
"228" "abseil" "abseiled"
"229" "abseil" "abseiling"
"230" "abseil" "abseils"
"231" "absence" "absences"
"232" "absent" "absented"
"233" "absent" "absenting"
"234" "absent" "absents"
"235" "absentee" "absentees"
"236" "absenteeism" "absenteeisms"
"237" "absinthe" "absinthes"
"238" "absolute" "absolutes"
"239" "absolutist" "absolutists"
"240" "absolve" "absolved"
"241" "absolve" "absolves"
"242" "absolve" "absolving"
"243" "absorb" "absorbed"
"244" "absorb" "absorbing"
"245" "absorb" "absorbs"
"246" "absorbance" "absorbances"
"247" "absorbency" "absorbencies"
"248" "absorbent" "absorbents"
"249" "absorber" "absorbers"
"250" "absorptiometry" "absorptiometries"
"251" "absorption" "absorptions"
"252" "abstain" "abstained"
"253" "abstain" "abstaining"
"254" "abstain" "abstains"
"255" "abstainer" "abstainers"
"256" "abstention" "abstentions"
"257" "abstinence" "abstinences"
"258" "abstract" "abstracted"
"259" "abstract" "abstracting"
"260" "abstract" "abstracts"
"261" "abstraction" "abstractions"
"262" "absurdity" "absurdities"
"263" "abundance" "abundances"
"264" "abuse" "abused"
"265" "abuse" "abuses"
"266" "abuse" "abusing"
"267" "abuser" "abusers"
"268" "abut" "abuts"
"269" "abut" "abutted"
"270" "abut" "abutting"
"271" "abutment" "abutments"
"272" "abyss" "abysses"
"273" "acacia" "acacias"
"274" "academic" "academics"
"275" "academician" "academicians"
"276" "academy" "academies"
"277" "acanthus" "acanthi"
"278" "acanthus" "acanthuses"
"279" "acaricide" "acaricides"
"280" "acc" "accs"
"281" "accede" "acceded"
"282" "accede" "accedes"
"283" "accede" "acceding"
"284" "accelerant" "accelerants"
"285" "accelerate" "accelerated"
