,word,n,avg_rating,avg_stdev,modifier
1,love,8035,4.833354076,0.540592837,1
2,great,5733,4.695621838,0.725358167,1
3,stars,5433,4.616418185,0.765922718,1
4,five,4039,4.972765536,0.253262129,1
5,best,1828,4.863785558,0.572629979,1
6,awesome,1778,4.872328459,0.453845298,1
7,easy,1277,4.699295223,0.701838922,1
8,favorite,1117,4.781557744,0.69477059,1
9,four,802,3.980049875,0.286353801,0
10,enjoy,789,4.62991128,0.807589392,1
11,amazing,778,4.879177378,0.474094237,1
12,nice,693,4.494949495,0.832185231,1
13,happy,620,4.606451613,0.933987745,1
14,recommend,599,4.724540902,0.819443127,1
15,artists,573,4.506108202,0.943535811,1
16,variety,573,4.645724258,0.746883998,1
17,u,507,4.558185404,0.960724293,1
19,excellent,402,4.791044776,0.640385952,1
20,iheartradio,395,4.579746835,0.966754441,1
21,heart,389,4.63496144,0.966133388,1
22,cool,374,4.617647059,0.792599026,1
23,three,373,3.021447721,0.651360071,0
24,perfect,354,4.745762712,0.679773842,1
25,choices,304,4.539473684,0.89281384,1
26,wonderful,280,4.717857143,0.813661828,1
27,thank,249,4.682730924,0.865875799,1
28,genres,233,4.64806867,0.763221481,1
29,fun,212,4.688679245,0.672594292,1
30,anywhere,211,4.753554502,0.765894541,1
31,highly,201,4.815920398,0.671524589,1
32,lots,199,4.512562814,0.963260962,1
33,selections,194,4.515463918,0.956173311,1
34,mood,193,4.787564767,0.638561842,1
35,fantastic,185,4.837837838,0.547400652,1
36,especially,174,4.505747126,0.941939497,1
37,definitely,148,4.608108108,0.915736462,1
38,channels,145,4.634482759,0.771126459,1
39,favorites,136,4.691176471,0.725357699,1
40,enjoying,134,4.611940299,0.793871713,1
41,everyday,132,4.75,0.755387773,1
42,lets,129,4.658914729,0.956034486,1
43,friends,126,4.603174603,0.972249886,1
44,rocks,123,4.861788618,0.517326089,1
45,super,123,4.642276423,0.950669146,1
46,glad,116,4.75,0.720808725,1
47,okay,116,3.25862069,0.924268826,0
48,awsome,111,4.90990991,0.287609254,1
49,loves,108,4.87037037,0.494693195,1
50,sleep,108,4.509259259,0.84825682,1
51,anytime,106,4.858490566,0.505939564,1
52,overall,106,4.20754717,0.858758585,0
53,mix,104,4.634615385,0.669120453,1
54,wide,99,4.565656566,0.859064705,1
55,lovers,95,4.905263158,0.294404708,1
56,kinds,93,4.698924731,0.655825836,1
57,convenient,92,4.510869565,0.907775511,1
58,finding,86,4.465116279,0.978566472,1
59,greatest,86,4.802325581,0.665445758,1
60,horrible,86,1.395348837,0.985531445,-1
61,lover,83,4.759036145,0.758534554,1
62,customize,80,4.75,0.626422432,1
63,loving,80,4.875,0.460462068,1
64,helps,78,4.743589744,0.691993121,1
65,terrible,76,1.381578947,0.832139496,-1
66,oldies,75,4.733333333,0.577350269,1
67,custom,73,4.657534247,0.785620386,1
68,morning,73,4.575342466,0.998857795,1
69,pleased,72,4.555555556,0.932796626,1
70,quick,72,4.513888889,0.992834264,1
71,discover,70,4.6,0.969087424,1
72,jazz,69,4.768115942,0.842700972,1
73,across,68,4.514705882,0.938284351,1
74,musical,67,4.626865672,0.901779737,1
75,offers,67,4.52238806,0.974807035,1
76,uninstalled,67,1.567164179,0.957013673,-1
77,source,66,4.621212121,0.85512305,1
78,luv,64,4.9375,0.243975018,1
79,uninstall,63,1.492063492,0.948224417,-1
80,tons,61,4.639344262,0.966657245,1
81,d,60,4.616666667,0.993054979,1
82,worst,60,1.35,0.917346948,-1
83,lol,59,4.627118644,0.666910145,1
84,wherever,59,4.796610169,0.517942249,1
85,her,58,4.465517241,0.959084308,1
86,style,57,4.649122807,0.640625478,1
87,hits,56,4.571428571,0.759357213,1
88,learning,54,4.351851852,0.704631776,0
89,timer,54,4.407407407,0.858223671,0
90,enjoyable,52,4.788461538,0.636674524,1
