Find,Replace
\bawsome\b,awesome
\bfavourite\b,favorite
\bfavs\b,favorite
\bfav\b,favorite
\breccomend\b,recommend
\brecomend\b,recommend
\breccommend\b,recommend
\bcomercials\b,commercials
\bdissapoint,disappoint
\brealy\b,really
\bthx\b,thanks
\bluv\b,love
\bbc\b,because
\bcuz\b,because
\bexcelent\b,excellent
\bexcelente\b,excellent
\bthier\b,their
\bmins\b,minutes
\balot\b,a lot
\blil\b,little
\bpanadora\b,pandora
\bspodify\b,spotify
\beverytime\b,every time
\bur\b,your
\bth\b,the
\bap\b,app
\bprograming\b,programming
\bdosent\b,doesn't
\bdoesnt\b,doesn't
\bive\b,I've
\bIve\b,I've
\bim\b,I'm
\bdidnt\b,didn't
\bdont\b,don't
\bhavent\b,haven't
\bcouldnt\b,couldn't
\bisnt\b,isn't
\bwasnt\b,wasn't
\barent\b,aren't
\btheres\b,there's
\bvarity\b,variety
\bot\b,to
\bdefinately\b,definitely
\bdefinetly\b,definitely
\braido\b,radio
\blisen\b,listen
\bppl\b,people
\bsimiliar\b,similar
\btravelling\b,traveling
\bacount\b,account
\bdiffrent\b,different
\bplz\b,please
\btruely\b,truly
\bSirrius\b,Sirius
\btotaly\b,totally
\btryed\b,tried
\baps\b,apps
\bstoped\b,stopped
\bsynch\b,sync
\bu\b,you
iheart\sradio,iheartradio
\biheart\b,iheartradio
better\sthen,better than
wi\sfi,wifi
e\smail,email
bso+\b,so
buh+\b,uh
