"","word","Stars","frequency","avg_rating","avg_stdev"
"1","love",5,8170,4.82447980416157,0.567438146054888
"2","selection",5,932,4.3980686695279,0.996942976931813
"3","happy",5,560,4.61071428571429,0.948716970228097
"4","greatly",5,10,4.7,0.674948557710553
"5","love",5,8170,4.82447980416157,0.567438146054888
"6","love",5,8170,4.82447980416157,0.567438146054888
"7","thumb",5,154,4.61688311688312,0.978180597009923
"8","thumb",5,154,4.61688311688312,0.978180597009923
"9","preference",5,44,4.56818181818182,0.899553565573587
"10","station",5,2452,4.51468189233279,0.997440922189504
"11","genre",5,415,4.58313253012048,0.858154867771156
"12","love",5,8170,4.82447980416157,0.567438146054888
"13","listen",5,4298,4.56956724057701,0.957279156050157
"14","love",5,8170,4.82447980416157,0.567438146054888
"15","listen",2,4298,4.56956724057701,0.957279156050157
"16","nice",5,678,4.42035398230088,0.880780433982633
"17","easy",5,1286,4.68662519440124,0.72246333546042
"18","selection",5,932,4.3980686695279,0.996942976931813
"19","love",5,8170,4.82447980416157,0.567438146054888
"20","love",5,8170,4.82447980416157,0.567438146054888
"21","selection",5,932,4.3980686695279,0.996942976931813
"22","love",5,8170,4.82447980416157,0.567438146054888
"23","love",5,8170,4.82447980416157,0.567438146054888
"24","love",5,8170,4.82447980416157,0.567438146054888
"25","availability",4,14,4.57142857142857,0.85163062725264
"26","choice",4,505,4.61386138613861,0.865685078623423
"27","musician",4,28,4.64285714285714,0.911420775870196
"28","perfect",5,355,4.7887323943662,0.56035433094385
"29","awesome",5,1892,4.86575052854123,0.489930673308034
"30","love",5,8170,4.82447980416157,0.567438146054888
"31","selection",2,932,4.3980686695279,0.996942976931813
"32","selection",2,932,4.3980686695279,0.996942976931813
"33","listen",2,4298,4.56956724057701,0.957279156050157
"34","listen",2,4298,4.56956724057701,0.957279156050157
"35","pleasure",2,40,4.825,0.594310632754563
"36","love",5,8170,4.82447980416157,0.567438146054888
"37","love",5,8170,4.82447980416157,0.567438146054888
"38","selection",3,932,4.3980686695279,0.996942976931813
"39","selection",3,932,4.3980686695279,0.996942976931813
"40","selection",3,932,4.3980686695279,0.996942976931813
"41","additional",3,17,3.64705882352941,0.996316746232607
"42","happy",1,560,4.61071428571429,0.948716970228097
