prod,title,author,date,stars,comments
Amazon,I like it better than Pandora.,mob,28-Mar-16,5,"love this music app.  great selection.  Better than Pandora. Use it on my Samsung Phone.  Not happy, however, that I cannot seem to get the app on my Samsung Smart TV. I get the Amazon Cloud app but not the Amazon Music App,  (Amazon, if someone could contact me about this, would greatly appreciated)  The Amazon Cloud app does not seem intergrated with the Amazon Music app.....Thanks!"
Amazon,In order for this to be of value you must use it daily or it's just not worth payhing a year in advance for it.,William Davidson,30-Jun-16,3,Lots of product but I just didn't use it enough to justify spending over a $100 dollars a year on this.  Plus they make you pay a year in advance and you can't pay monthly which sucks.  Maybe if they started charging monthly I'd sign up again.  The free 2 days shipping on products was goo thought.  But I never watched a movie or listened to a song on Amazon.
Amazon,"Amazon Music is great, I don't know why I didn't get it ...",Nolan,3-Oct-17,5,"Amazon Music is great , I don't know why I didn't get it sooner. love it."
Amazon,Glad to be able to get the music as a Prime member,L..Gerry,27-Apr-16,4,"Love that you can download music as a Amazon Prime Member.  Just was a little confusing for me when it asked certain questions on where to store songs and also if there was a charge for the songs. That is the only reason I did 4 stars.  I am not quite as tech savy as some of the younger people, so just would have liked a little more explanation.  Love having the music though."
Amazon,Five Stars,jan0019,10-Apr-17,5,works great
Amazon,Not happy,Kirby,17-Aug-15,1,"In addition to the ridiculous list of things it wants access to, this app would not let me log in to my own Prime profile. It kept logging me in under my mother, even when I put my own email and password in multiple times. She doesn't have Amazon Prime or any of my music, so all the music I just saved to my library apparently is now worthless. I guess I just go back to Spotify.  At least that's a lot easier to use and lets me log in to my own profile."
Amazon,Amazon does it again!,Rebecca Combs,17-Jun-15,5,"This has been a great benefit of being a prime member. Its has almost infinite playlists and music geared towards everyone and everything. I love the thumb up thumbs down options that allow you to make your preferences known, plus the ability to download whole albums or just single songs. It brings up new artists you might like and has stations for whole genres or just specific artists that also play their musical colleagues. Great product or service from amazon. AGAIN!"
Amazon,Five Stars,roskodolly,4-Oct-17,5,Love my country!
Amazon,Five Stars,Amazon Customer,6-Oct-17,5,Works great
Amazon,Loving the selection so far!,Paula Rivers,2-May-16,5,"Just started using Amazon music but so far I am really liking it! I was easily able to find music that I liked and out it where I can listen to only what I want to listen to! Lots to choose from and I have barely begun to look! My only issue is that now my son is asking me non-stop for my phone so he can listen too! As long as he stays in my country world, all will be well!"
Amazon,Not bad considering its free!,Saul Castillo,20-Jun-14,4,Decent service. Love the fact that it's bundled w/ Prime. Makes Primes an even greater bargain! The service itself is.... useable... The music selection is not as vast as other services and the audio quality for some reason is only so-so. Love the playlists and the ability to download music for offlilne streamline those are must have for any music streaming services. Hopefully artists and content will increase with time. Impossible to give a bad review to free service to Prime subscribers but I wouldn't mind paying an extra few bucks a month if the issues noted above were addressed.
Amazon,#mynumberoneusedapp,JSmooth333,23-Jul-17,5,Idk if I could live without this app!!!!
Amazon,Five Stars,Nasrebmor,7-Oct-17,5,Cool music !!!
Amazon,Stream music,K Bryson,14-May-16,5,Absolutely love Amazon Prime Music..it's very easy to navigate between different music styles where you can listen or skip and save your preferences with 1 tap. They of course have updates regular to add all the newest songs
Amazon,fiddle-y and annoying. Maybe it's better from my Chromebook,Kaye,19-Jun-17,2,"Tweaky, kept having to back out of the app to change stations, fiddle-y and annoying.  Maybe it's better from my Chromebook, but on my phone the app was a PITA and I probably won't use it."
Amazon,Three Stars,Ryan H.,5-May-17,3,works well
Amazon,Five Stars,Amazon Customer,11-Mar-17,5,great music
Amazon,Works well,Joseph,13-Jun-17,5,Works well
Amazon,Five Stars,Amazon Customer,10-Nov-17,5,Good value for prime members
