prod,title,author,date,stars,comments
Pandora,"So far I really like it, but have only scratched the surface",meme22,28-Dec-14,4,"Just getting started with Pandora.  So far I really like it, but have only scratched the surface.  Got an IHome wireless speaker for my Kindle Fire HDX so I can not have music I like wherever I like.  There are commercials, but are not terribly annoyin."
Pandora,Highly recommended,Buck Ziffero,5-Feb-14,5,"I have been a Pandora user for quite some time. I use it on all my computers at home and at my office.  I appreciate the fact that I can input the artists and style of music I prefer. If something is played I would rather not listen to again I can input that fact. I can listen to my playlist randomly, or select a particular artist/style to play.  I recently upgraded to a Kindle Fire HDX, and can now play music while I'm reading or anything else I may be doing on the Kindle.  I have tried several other downloadable music sites, and have found Pandora to be the most versatile and have the greatest choice of music as well as being the easiest to use."
Pandora,Five Stars,mike 1,1-Jan-15,5,awesome
Pandora,Five Stars,Mary M Reed,16-Aug-17,5,I love hearing my favorite tunes.
Pandora,Like it!,Adrienne Englund,4-Feb-13,4,"Panadora is one of my favorite FREE apps.  I use this app all the time when working out, and I love the variety of music they have for free on here!  I just downloaded this to my Kindle as my son loves music and now he can listen to it on the kindle as well!  Other than the ""Pop and Hip Hop Power workout"" station playin OLDIES (not sure why this is) I have no issues and love Pandora!"
Pandora,Pandora is a great app for music play,BRK,10-Nov-15,4,Pandora is a great app for music play. Upside is that you can create any list you want .... down side is that there is not enough different music added to your selected playlist type.
Pandora,All My Genre,Kludge,13-Sep-13,5,"This is really great sound.What a concept!  Just start a station off and it keeps adding same genre songs.Tired of that genre, start another station off and it keeps building, too.Tomorrow want some of the same, then maybe something different, start another station, or start an old one.Thumbs down those songs you don't want and they are gone.  Thumbs up those to tweak the selections of the future songs.Great deal, and no advertisements.I definitely recommend!"
Pandora,I like the service but find the app not very intuitive ...,Amazon Customer,16-Feb-16,4,I like the service but find the app not very intuitive in terms of use. Perhaps a link to instructions on how best to set up your own channels would be helpful.
Pandora,"The music is great, the commercials are a pain",Norman R,10-Dec-12,3,"I guess that's the point of free versus subscription service, but the commercials have become more frequent and more intrusive. Before they used to be just quick announcer-based commercials, now they are full blown professionally produced commercials just like you would hear on commercial radio. They are very irritating, to say the least."
Pandora,Five Stars,Rodney Phillips,16-May-17,5,Just love it
Pandora,Five Stars,Vincent Frese,2-Jun-16,5,Very good
Pandora,Is awesome.. Its great to hear songs you remember ...,Alice B.,25-Apr-16,5,"Every song I choose or radio artist..Is awesome..Its great to hear songs you remember as a Rockin young person,and is just as fun now to listen!"
Pandora,I love Pandora,Barb,22-Oct-13,5,I have Pandora on my iphone and my laptop.  I love listening to what I want while I'm cooking dinner.  It's a great app.
Pandora,love it.,William Ayres,3-Dec-16,4,"at first it didnt work right, cork left in bottle, however now it works perfectly.  love it."
Pandora,What happened?,Shannon R.,24-Aug-13,2,I've only had this app for a week and already problems! Worked like a charm until I had it exactly one week then it refused to load further than the blue Pandora screen! I completely removed it deleted the purchase and downloaded again for it to only do the same thing the next day! I hope this is just a bug that can be worked out because I love Pandora!
Pandora,Highly Recommended,Mortimer,20-Jul-16,5,"I have been using Pandora Radio for years, I love the stations I have created and I'm always surprised at the song choices they suggest, hidden treasures or forgotten favorites!"
Pandora,Music,Tom J Schill,15-Dec-16,5,I enjoy the selection of music gendra.  I turn on Pandora and listen all day to the music
Pandora,Great App,Blueyezgirlie,14-Jan-13,5,I use the app all the time. Works great on my phone and Tablet. Can't live without it! Easy to install and free!
Pandora,Simply Love It!!!!!!!!!!!!,Sukey,17-Nov-12,5,"Pandora app is the best!  If you love music and you simply want some relaxation music or want to get up and dance, Pandora has it all.  The sound on the Kindle Fire HD is simply a knock out.  Cannot believe that sound comes out of that thin piece of amazement!!!!  Truly, I recommend getting the full version of this app.  It is not much and is totally worth it.Thanks to Pandora and amazon.com."
Pandora,Pandora!,Hattsfam,29-Mar-13,5,"I have the free version.  Every now and then it asks if you are still listening and/or you hear a few ads, but I don't find it annoying enough to upgrade and pay monthly for it.  The genre picked does tend to play the same songs over and over, but there are many options to choose from and change the genre playing to change up the songs whenever you want. Can't beat it for free!!??"
Pandora,Good App,Got2bfree,3-Jun-16,4,Good App
Pandora,Four Stars,Brandon Roberts,6-Feb-15,4,Works as expected
Pandora,I absolutely love Pandora! We are constantly playing it in my ...,Sheryl McDaniel,18-May-16,5,I absolutely love Pandora!  We are constantly playing it in my home when it is time to do some housework...and I play it at work some too.
Pandora,Great music and cmedy!,Joe Gervase,19-Sep-16,5,I have been listening to Pandora fr years now and the mix is great. I have approximately 20 channels defined.
Pandora,Best Music Player out there!,Mike Enriquez,26-May-16,5,I love that I get to listen to whatever I want whenever I want. The music quality is as good as I want to make it. PANDORA is EXCELLENT!
Pandora,What a waste of,Eric J.,1-Aug-15,1,"Stopped working immediately and had to call Pandora.  Next use was equal to one song at a time. After screwing with it for way too long, just changed to a different streaming program.  What a waste of time"
Pandora,love it,Ida Hudson,31-Jan-13,5,"well you cant go wrong with Pandora in the first place. Awesome music, the lyrics to sing by and easy to use"
Pandora,nothing evil in THIS box!,Bun-Bun Baxter,1-Aug-15,4,"Being able to pick ""stations"" for your favorite music means very little you dislike, though Pandora limits the number of pieces you can skip through, and there are ads unless you pay to avoid them."
Pandora,Five Stars,Mark Cusenz,27-Sep-17,5,"I Love It !!! Listen all day at work, makes the day a whole lot easier !!"
Pandora,I want to stop my subscription,juan,23-May-17,1,I want to cancel the subscription to stop the payment and it won't let me
Pandora,The internet music standard - for good reason,PghDrake,20-Mar-13,5,"This app has always made advances with internet radio and doesn't disappoint.  It's very rare that there are issues with the app or the connection (as long as you have a good WiFi connection of course).  You can set up your own channels and listen to everything from rock to classical to comedy bits.An excellent app that everyone should have, in my opinion.-D"
Pandora,Love using Pandora,Bethany,29-Nov-16,5,Love using Pandora. It has great variety and I am able to even hook into it on my cable box.
Pandora,Really wonderful that is adapts to play music that you like,Amazon Customer,10-Mar-16,3,Really wonderful that is adapts to play music that you like. The only problem is it has loading problems. It can take a long time to start the next song.
Pandora,Very Happy,C. Fernandes,29-Jan-17,5,I am a big fan of Pandora and listen to it often. The app works very well.and was free.
Pandora,Five Stars,Austin,23-Jan-17,5,"Fun to create your own ""stations"" and Pandora does well in selecting the tunes."
Pandora,Good App,Peter,1-Jan-17,4,"This App was installed on the daughter's new 8"" Fire HD and she likes it very much."
Pandora,Five Stars,"Mr. James A, Sanchez",5-Jan-17,5,"Love Pandora, hate the still listening and ads but I just too cheap to upgrade, Oh well"
Pandora,Pandora Media,Vernell Sullivan,23-Jan-14,5,I have just applied Pandora and really do like it.  I plan to utilize this item to a great extent.
Pandora,Pandora with Bose Mini Bluetooth Speaker! Wonderful,mike toscano,8-Jan-14,4,Always enjoy my Pandora. Now that I have a mini Bose blue tooth speaker it's even better.I listen tall all my favorite channels at home and now at work.I have the premium Pandora with no commercials. It's wonderful.Mozart to Joe Walsh to Muddy Water. What a way to listen to uninterpreted music all day long.
Pandora,great streaming music...,Marc Albin,20-Feb-16,5,"I love my Pandora, it is the best next to amazon music... I use it all of the time, it helps me when I am cleaning keeps me going... Wide variety of music..."
Pandora,Ads cost Pandora a !!!,Amazon Customer,22-Nov-16,4,"Four stars because of advertising, would be better without ads and no charge to remove them !"
Pandora,Very Nice,suitedzombie,15-Nov-15,4,"Pandora is overall a great listening station. I mean, you can't get any better than free. Even better, every device linked with one account will share the same stations. If I had one thing to say, it's the ads. About 2 of them come on every 2-3 songs. And considering the fact that the same ads play all the time, it can get quite irritating. Great app though. :)"
Pandora,Works But Nothing is Free,Amazon Customer,22-Oct-15,2,"You don't get something for nothing.  This works but I've read that it enables personal information to be sent to the company about your habits, contacts, pictures, etc.  I took it off."
Pandora,love it,Amazon Customer,27-Feb-14,4,"Awesome app. Really wish the kindle version didn't take off the sleep timer though. I miss that feature, can't fall asleep to the music anymore because I have to wake up to turn it off. Sigh. Other than that I love this for everything else. Music is in everything I breathe and Pandora almost always plays my moods."
Pandora,Five Stars,Lannette,18-Jul-17,5,I love me some PANDORA would not change for anything unless it's better.
Pandora,Wonderful!!!,Ardie,16-Apr-14,5,So enjoy the variety and easy of use.  I carry it with me and it helps me keep working. Thanks!!!!
Pandora,went wrong since last update -.-,Amazon Customer,3-Nov-15,2,"Last update does not allow you to stop playing your music, stop playing, skip a song, nor like or dislike it unless you are inside the app. Plus it stops playing by itself randomely."
Pandora,One Star,broron,18-Jul-17,1,Don't know they would not except my account.
Pandora,Five Stars,Amazon Customer,24-Aug-17,5,Good
Pandora,Pandora is awesome. It is free music,Trey,7-Apr-15,4,"Pandora is awesome. It is free music. Type in a song, album or artist and you get that plus similar music. And its all for free? I use it for Moon Hooch and Mickey Avalon radio. Better than radio, satellite and Youtube for music."
Pandora,The app does what it is meant to do,Benjamin Thomas Rath,25-Feb-15,4,"The app does what it is meant to, open a direct link to your Pandora account. It doesn't do anything else because it doesn't have too. You could accomplish the same effect by creating a short cut, but I find this slightly more convenient."
Pandora,1st app,Reader in the Midwest,14-Jul-13,5,This was my 1st app on my new KFHD & I love it. The device has good speakers & w/Pandora you can program your favorites. Wish there were no audio ads but the app was free so why complain?! I had to go to Amazon's Kindle support to figure out where it was on my KFHD once I downloaded it but that's not the fault of the app. Pleased to have it & esp at no cost.
Pandora,pandora,Nancy Weimer,29-Aug-13,5,I love the pandora.  It's easy to use and works great.  I would yell anyone that ask me that they will love it.
