prod,title,author,date,stars,comments
Spotify,spotify is great,brittkne,7-Oct-17,5,"Spotify is way, way, way, way, way, way better music app than Pandora. It doesn't limit you on the musicians you actually like with awful musicians with a few of your favorite songs peppered in between garbage pail cousin  music and brown water trash one hit wonders. Spotify let's you play whole albums and let's you make custom and endless playlists."
Spotify,Love this app,Vickie,31-Jul-16,5,"I love this app. I put it on my phone first, but I had so much music it was taking up all the room on my phone. I deleted it and thought I had lost all my music, but when I downloaded Spotify to my tablet, all my music had been saved and I still was able to access it. It is different than Pandora in that you only get music from the artists you select. If you click follow, you will receive new songs for that artist as they come in. There is a free version without too many ads and a paid version. Right now I have the free version, but I am thinking about purchasing the paid version. Either way, you have access to lots of great music from your favorite artists."
Spotify,Novice,Linda Burton,4-Apr-17,5,"I love, love, love spotify !!!!! I'm 71 years and no very computer literate, if I can learn Spotify anyone can. I have found songs I used to listen to 55 years ago."
Spotify,The ony music app you neec,Chris Johnson,7-Mar-17,5,"I love this app. I've tried them all (apple, amazon, pandora) and nothing compares. The suggestions are awesome, I'm finding new music all the time. Also, you can pick up where you left off on any device. Spotify is the best, period."
Spotify,Great for metal fans!,Kindle Customer,13-Nov-17,5,I love this app so much. I can listen to music and I can trust that the bands I like are getting paid for their work. (I use the free version so I experience the occasional ad) So much better than buying iTunes or using youtube for music. As a heavy metal fan some of the bands I like are less popular but I can find them all here. I am amazed some local and lesser known bands are featured on this service. It makes me glad that the ad revenue goes to supporting them in making more great music for my enjoyment.
Spotify,BEST. MUSIC APP. EVER.,Ann Manhire,29-Apr-17,5,Great for listening to your favorite tunes and discovering new ones as well
Spotify,I love it,Lara,24-Apr-17,5,It is such a good app I fecomed this to anyone who love music
Spotify,Best Choice for Music,Jesse,14-Oct-17,5,"Listening to music on demand has never been better than it is with Spotify. The app not only provides access to thousands of classic tracks, but it provides great recommendations for music you might like based on your listening history. Highly recommended!"
Spotify,Great app!,Amazon Customer,7-Jun-17,5,I really like being able to pull up my favorite songs and adding them to a playlist. I also really like how it recommends new music for me based on what I already listen to.
Spotify,awesome!,Michael Crow,27-Dec-16,5,this literally has almost every song i have ever searched. plus offline mode is amazing!!
Spotify,Amazing,Kasey Minor,10-Nov-17,5,I love Spotify!! Very good quality and good songs!! Very easy to use!!!
Spotify,Awesome music,carl simms,10-Apr-16,5,This app is wonderfully diverse in its music content. You can create your own playlist or listen to individual songs. Typing in an artist name reveals lots of albums and hit songs.
Spotify,Amazing app!,Amazon Customer,4-Jun-17,5,This app is amazing and you don't even have to get a premium account to get access to great music!
Spotify,Better than Pandora,Jackie C,13-Jul-16,5,"I switched to Spotify from Pandora because I wanted to be able to choose the songs I wanted on my playlists while still having the option to create radio stations like on Pandora. They have a huge variety, so pretty much any song you're looking for, they'll have. The radio stations (created based on artists) tend to play a lot of the same songs over and over. I use the paid version so I don't have to listen to ads when I workout, and I'll continue to do so."
Spotify,Can't live without it!!,Anna Morrison,8-Jan-17,5,"Can't live without iit!! It has opened up my musical perspectives so much & the Discovery Weekly playlist is so awesomely selected, I fell Spotify knows me!"
Spotify,It's Great!!,Olivia,24-Apr-17,5,I love it especially if ur on a kindle fire like me bc u have unlimited skips but there are some ads I'm listening to it right know!
Spotify,Five Stars,Carolyn Pauli,12-Nov-17,5,great
Spotify,5 stars,Andy,5-Oct-16,5,Best music app I've tried.  Ads are not played often and you Can disable them if you pay.
Spotify,Five Stars,Melanie,12-Nov-17,5,Love the variety!
Spotify,worth it,Kindle Customer,27-Dec-14,4,I love that I can choose from a wide variety of music.and don't have to be locked in on a certain style
Spotify,Love it. Goodbye pandora.,Eva Christina Gray,28-Dec-15,5,"My dad listened to spotify all the time, so I tried the free version (i have a fire tablet hd 8 edition 5) and have had no problem at all. You can download a lot of songs and listen to your own playlist, or somebody else's playlist. No more pandora for me."
Spotify,Wish I could hold and drag songs/playlists to order/re-order like on the PC version but for my kindle,Amazon Customer,26-Jan-17,5,Wish I could hold and drag songs/playlists to order/re-order like on the PC version but for my kindle. But that's nothing to lose a star over. Still the best out there.
Spotify,Great Music App,Denise Pribil,26-Oct-17,5,"Great app, has every kind of music that you like. You can find a lot of great songs that you would not have found before. Also you can listen to old music or new music."
Spotify,Five Stars,Susan Hobson,28-Aug-17,5,Love Spotifyâù_ï¸è
Spotify,The discover playlist is your answer for new music.,Richard Huczko,11-Feb-16,5,"I don't know what to say. I'm a spotify fiend with a premium membership. I can hear anything I want and any songs that I happen to love, but the weekly discover playlist keeps me coming back because I'm incapable of finding new music on my own."
Spotify,Very good app,MashyTater,9-Apr-17,5,"This is a very good app,I've used it for about 2 years now, my only issue is how often there's an ad but that won't stop you from singing in the shower!"
Spotify,Best Music App,Yaritza Abdelnour,13-Sep-15,5,"This app has the most variety of music available that I have seen in any app and it is so efficient. The playlists you create can be played offline as long as you have a premium plan which, compared to other music apps, are very affordable. I would reccommend Spotify for everyone."
Spotify,I fux with spotify,i.wiley,15-Aug-17,5,My only choice for music listening
Spotify,Awesome app,Kindle Customer,12-Jul-17,5,This app is awesomeLalalala yay yay yay yay yay yay
Spotify,"Good service, great app, disappointing business model",Amazon Customer,8-Sep-15,4,"The app is great. Nice design and interface. It's easy to learn and a good service, but I would appreciate the same functionality between tablet and phone. I think it's a bit inconvenient that my phone/phablet doesn't have the same access to songs without shuffle, as a tablet does."
Spotify,Best music app I've ever used.,B. Mohnkern,31-Aug-15,4,"Spotify is great, and I do have a Premium account for greater mobile listening and no ads.  My only complaint is that for unknown playlists (such as one I made) is hard for friends of mine to find unless I send them the playlist.  Small complaint, and I definitely love using Spotify."
Spotify,simple,Kindle Customer,5-Jun-16,5,Simple and it works.
Spotify,"First name greatest, last name ever. Middle name music app. (That make greatest music app ever)",Simoman,28-Mar-17,5,Best App for music ever
Spotify,small bug otherwise great app,Sarah,15-Oct-14,4,"There's a small issue I have a lot of times it will not allow tracks to be played or will say a track is playing, but I only hear silence. That and once it wouldn't let me share to Facebook (facebook specifically.) I haven't tried since. Great quality sound though, and I love the wide open variety. Wouldn't want an app that only has pop, rap and country :p love it"
Spotify,Almost Awsome,Sally  hale,27-Nov-14,4,I love the fact that this is free and our favorite music I shared spotify with all of my friends but here comes the negative thing tablets don't call out of state with a bid ass screen it should be music anywhere for free no internet. I rest my caseÃ°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†Ã°ÂŸÂ˜Â†
Spotify,Good App,mjbjn05,2-Mar-16,4,I find that this app is better than others that I have tried. However it does seem to freeze up from time to time during songs changings I guess nothing is perfect. The download went fine with no hangups. Overall it's a good application.
Spotify,Spotlight is great,Brenda Wilson,26-Aug-17,5,I just love spotlight premiumI don't have to listen to ads and interrupt my listening  they have all the great songs
Spotify,Spotify,Brittany,8-Jun-17,5,I love all the premade playlists.
Spotify,Spotify is my favorite music service,Grant Jones,11-Dec-15,4,Spotify is my favorite music service. Way better than Pandora and other online radios. The ability to select and listen to any song I want is what puts it over the top! I can even listen to radio stations of my favorite artists if I want to. Thanks Spotify!
Spotify,awesome,Jamie Wheeler,29-Mar-17,5,It has all the music I need. Thank creator's
Spotify,love it,Monica,7-Apr-16,5,I can listen to whatever I want and like when it comes to my favorites I can listen to them and I just love it and I get to block my teachers out in school while listening to music by Bryson Tiller trapsoul on this app thank you
Spotify,Spotify perks,Dana,21-Apr-17,5,Works very well on my tablet and even plays while I play a game. Spotify premium is even better because there are no commercials and that is the best.
Spotify,Great Music App,Fan of HSS,19-Feb-16,4,"Has lots of popular songs, however I was disappointed that Taylor Swift wasn't on here. She is my favorite singer, so I wanted to hear her music. Otherwise, good music app. You can create your own public channels and playlists. I recommend"
Spotify,sathy,Amazon Customer,18-Jan-17,5,A great music channel.
Spotify,Thumbs up,Desiree Michelle Campos,28-May-17,4,Love spotify! My go to for listening to music. The mobi!e version is more restrictive but it is still good.
Spotify,Its awesomeness i love i can find all the music i really really ...,Amazon Customer,4-Jun-17,5,Its awesomeness i love i can find all the music i really really like!!! I mean all music it a amazing app!!
Spotify,the best,mrmiyagi62501,4-Jan-17,5,The best third party music player anyone could ask for!!!
Spotify,great app,Emy64,17-Dec-14,4,"I love this app, it is pretty great. The only fault i have is that it says i need wifi to listen tothe songs ive downloaded unless i get the upgrade. When i go to get the upgrade there is none. So this makes me mad a lil bc ive already deleted my old music app. But other than that its a great app and i love the way you can organize the music!"
Spotify,Love it!,Shirley Turnbow,7-Oct-17,5,Have been a Spotify customer for years. Love being able to research and find songs and artists when I want to.
Spotify,So far great all the music I love and can download and ...,Raymond,25-Dec-16,5,"So far great all the music I love and can download and listen while at work, home, andon the go. I hope it does not change. We will see when I get back from Mexico."
Spotify,I thought it was just a mith,good,15-Aug-16,5,Oh my ward I can listen to listen to any song I want to when ever I want to with premium BEST APP I HAVE EVER HAD I really thought it was to good to be a mith  BUT ITS A TRUE _Ÿ˜„_Ÿ˜„_Ÿ˜„_Ÿ˜„_Ÿ˜„_Ÿ˜„_Ÿ˜„_Ÿ˜„_Ÿ˜„_Ÿ˜„
Spotify,AWSOME!,Maggie's,11-Jan-16,5,"I don't pay but if you choose to, I think it would be worth it...I listen to it if I can't sleep, or if I feel stressed, or just want to listen to music ...Atleast try it, if you don't like it, you can always uninstall.. You have nothing to lose .."
