"Index","Product","Date","Stars","Review"
2,"Amazon",2016-06-30,3,"In order for this to be of value you must use it daily or it's just not worth payhing a year in advance for it.   Lots of product but I just didn't use it enough to justify spending over a $100 dollars a year on this.  Plus they make you pay a year in advance and you can't pay monthly which sucks.  Maybe if they started charging monthly I'd sign up again.  The free 2 days shipping on products was goo thought.  But I never watched a movie or listened to a song on Amazon."
3,"Amazon",2017-10-03,5,"Amazon Music is great, I don't know why I didn't get it ...   Amazon Music is great , I don't know why I didn't get it sooner. love it."
9,"Amazon",2017-10-06,5,"Five Stars   Works great"
11,"Amazon",2014-06-20,4,"Not bad considering its free!   Decent service. Love the fact that it's bundled w/ Prime. Makes Primes an even greater bargain! The service itself is.... useable... The music selection is not as vast as other services and the audio quality for some reason is only so-so. Love the playlists and the ability to download music for offlilne streamline those are must have for any music streaming services. Hopefully artists and content will increase with time. Impossible to give a bad review to free service to Prime subscribers but I wouldn't mind paying an extra few bucks a month if the issues noted above were addressed."
13,"Amazon",2017-10-07,5,"Five Stars   Cool music !!!"
16,"Amazon",2017-05-05,3,"Three Stars   works well"
21,"Amazon",2017-05-22,5,"Works great   Works great.  I use it."
22,"Amazon",2017-07-21,5,"Love this!   I can listen anywhere to the music I've already selected.  Love this!!!"
23,"Amazon",2016-12-02,5,"BETTER THAN ITUNES!   AMAZON MUSIC is so easy and is much better than ITUNES in many ways. The only downfall is that my CHRISTIAN artists do not do as much with Amazon Music and other than that...I downgraded my ITUNES account and am doing Amazon now. We are going to buy the Echo Dot and love the whole Alexa thing...better than Siri!"
28,"Amazon",2017-08-09,5,"excellent   excellent"
30,"Amazon",2017-05-15,5,"Five Stars   It very good"
35,"Amazon",2017-03-01,5,"Five Stars   nice jams!"
42,"Amazon",2017-07-25,5,"Five Stars   All good"
45,"Amazon",2017-07-20,5,"Five Stars   love amazon music"
53,"Amazon",2016-03-23,1,"BB no longer supported   I always gave great credit to Amazon for doing its part to make Android apps available for the BlackBerry OS. No longer. I have reason to own a BB10 OS device, which does have the ability to run Android apps, but only if the vendor allows the app to be downloaded, which in this case Amazon no longer allows. I'm dumping my Amazon Prime subscription and giving the money to Spotify."
57,"Amazon",2016-11-15,4,"Works for me!   Works well on my smart phone. Not comparing it to itunes or any other provider As a stand alone  product, I use it with Audio CDs purchased and I can download with prime in 5 seconds. I use it daily no measure of sound quality, etc.Simply works for me. Use phone, open Amazon player, hear my music. Grateful!"
62,"Amazon",2017-04-21,4,"Four Stars   love it"
66,"Amazon",2015-07-09,5,"Best streaming music service I've found   It is lacking many features for sorting or searching for duplicates, etc.  But I'm loving having such a huge library included with my Prime account.  I look forward to continuing to develop the apps to have more features I'd like to see.  I've tried several other streaming services and have not been satisfied at all from constantly crashing my devices to not syncing between computer and devices.  Been using Prime Music for weeks now with no issues at all."
70,"Amazon",2017-06-10,5,"Five Stars   great"
73,"Amazon",2017-11-14,4,"Four Stars   wokks"
77,"Amazon",2017-08-11,5,"Five Stars   Works  great."
90,"Amazon",2016-11-01,5,"Five Stars   Great music available!"
91,"Amazon",2017-03-20,4,"Four Stars   good"
92,"Amazon",2016-04-07,5,"Works great now.   It used to work great until the OS update. I hope they fix it soon. The update makes the app useless."
95,"Amazon",2013-09-20,5,"Bye Bye iTunes   I'm loving using my SamsungS3 phone with Amazon MP3 app + RunDouble's C25K app.  It's great to be able to add new songs to my training play list without having to doc to my PC; keeps my training runs fresh.Finally time to retire my iPod Shuffle and the original C25K podcasts."
98,"Amazon",2017-05-03,5,"SO FAR SO GOOD,   AT A PRESENT TIME MY NUMBER ONE SUPPLIER."
103,"Amazon",2015-12-18,3,"Love the application   Love the application, though I grant only 3, because by mistake I deleted the mp3 folder for the music included with prime, and the application didn't give me the opportunity to download them again, so no off-line library at the moment because of that, the stations is awesome because it's like have a lot of radio stations without commercial breaks and dumb comments every now and then.. just music 24/7"
