prod,title,author,date,stars,comments
iHeartRadio,Amazing !,susieq,3-Jul-16,5,I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)
iHeartRadio,Good but Frequently Malfunctions,Thrisha Nesbitt,11-Apr-14,3,"This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
iHeartRadio,music to my ears,J. Carver,12-Nov-17,4,good radio
iHeartRadio,weird mix sometimes,didisparkles,21-Sep-13,4,Love the commercial free app. Sometimes there is a 30 second ad at the beginning then that's it for hours. I don't like that you can only skip so many times a day because sometimes there is some really horrid stuff.
iHeartRadio,"I go walking at the ""Y"" about 4 times a ...",Kaye Vaughn-Bentley,27-Jul-17,5,"I go walking at the ""Y"" about 4 times a week, and the music makes it so much more enjoyable!"
iHeartRadio,Five Stars,2BNLove,2-Nov-17,5,Love
iHeartRadio,Love this app,Shealaun Neilson,7-Nov-16,5,Love this app! So much better than Pandora!  I love that I can listen to my favorite radio host since she know longer is broadcast in Utah. Thank you and love Delilah!
iHeartRadio,love it,Forgiven,5-Jun-15,4,"Pick stations, artists or songs and hit play it's that easy. Plus it remembers what u like and plays similar stuff!!"
iHeartRadio,Great App,Skyler,27-Oct-15,5,"Excellent app! Works well, and streams well even in the background with other apps running. Love the customization that it offers. The app learns what music u actually like through your ratings. So rate what you like, and the stations will cater well to you."
iHeartRadio,would be great,I. OLeary,30-Apr-13,4,i loved this app at first especially after switching from pandora to this it seemed to have all the same functions plus you could stream internet stations as well but after a while i noticed some songs are censored. there is a setting for explicit content but it just keeps you from using custom stations other than that its a pretty great replacement for pandora and its FREE WITH NO LIMITS!!! ALSO YOU DONT NEED FACEBOOK.i dont have it and i have saved custom stations
iHeartRadio,Four Stars,Ralph,24-Jul-17,4,Great Radio app. Just wish I could get local ball games.
iHeartRadio,may work for others,Bill,1-Aug-15,2,just not for me
iHeartRadio,Five Stars,Michael DiDonato,7-Jan-17,5,love it
iHeartRadio,Not impressed.,terrbearr,14-Mar-15,3,"Not a real big fan of this app.  If I want commercials I can listen to the radio in my car. The way everyone talked about it, I had to try it. Maybe I just haven't found the right radio station(s)"
iHeartRadio,Nice option,Tom,2-Dec-15,5,"Work's well! Good variety of stations, and styles of music. I can turn on whatever kind of programming that I'm in the mood for and not have to listen to whatever automated crap that the record labels and station owners decide is popular!"
iHeartRadio,I love this app cause I have a apple phone an ...,malane,29-Aug-16,3,I love this app cause I have a apple phone an they make you buy all there music so I just click on I heart radio an do my garden work are take a walk an listen to the music
iHeartRadio,radio worth listening to,Sam Crawford,21-Jan-13,5,"What makes iHeart Radio worth while is that you can listen to regular radio stations, or you can creat your own station. I find myself listening to stations in other parts of the USA.  Creating your own personal station is what I like best about this app. so many stations only play what they are dictated to play, it is nice to listen to stations where the music is understandable. If you like music, and are not happy with the local stations, this is the app for you."
