"Index","Product","Date","Stars","Review"
9,"Amazon",2017-10-06,5,"Five Stars Works great"
14,"Amazon",2016-05-14,5,"Stream music Absolutely love Amazon Prime Music..it is very easy to navigate between different music styles where you can listen or skip and save your preferences with 1 tap. They of course have updates regular to add all the newest songs"
17,"Amazon",2017-03-11,5,"Five Stars great music"
18,"Amazon",2017-06-13,5,"Works well Works well"
19,"Amazon",2017-11-10,5,"Five Stars Good value for prime members"
21,"Amazon",2017-05-22,5,"Works great Works great. I use it."
23,"Amazon",2016-12-02,5,"BETTER THAN ITUNES! AMAZON MUSIC is so easy and is much better than ITUNES in many ways. The only downfall is that my CHRISTIAN artists do not do as much with Amazon Music and other than that...I downgraded my ITUNES account and am doing Amazon now. We are going to buy the Echo Dot and love the whole Alexa thing...better than Siri!"
27,"Amazon",2017-09-04,5,"Five Stars Excellent"
31,"Amazon",2017-05-16,5,"I use everyday I love this app"
33,"Amazon",2017-07-14,5,"Five Stars I love music this is the best app"
43,"Amazon",2017-09-13,5,"Love it! Love it!"
44,"Amazon",2017-08-10,5,"Best Selection!! Love it!"
48,"Amazon",2017-03-02,5,"Its Free Its Free"
50,"Amazon",2015-04-15,5,"I was not sure if I needed to subscribe to prime as I do not have a way to connect my phone to the TV to enjoy instant prime movie I started out by taking advantage of the prime 30 day free trial. I was not sure if I needed to subscribe to prime as I do not have a way to connect my phone to the TV to enjoy instant prime movies. I do not have a gaming device. Then as I was learning more about prime music. The rest is history, I am now a prime member. Maybe before my membership runs out I will have some kind of device to view thru my TV.Thanks again.Love Amazon and Prime Amazon.Keep up the good work"
51,"Amazon",2017-04-06,4,"Good all around source for music. Pretty good availability. Not all choices available free musicare the original musicians or versions of particular songs ,you probably can purchase them . On my laptop the Playlist is a little hard to edit ."
55,"Amazon",2016-06-03,5,"I love Amazon Music! My go to when I drive. I love the music selection. I was also happily surprised when I got a message last week that the new Bob Dylan was out. I promptly downloaded it. I truly dig the stations and suggested music."
56,"Amazon",2016-11-22,4,"How cool is that YOu can think of a lot of songs and then they are there for almost free Prime cost. How cool is that, no CD's no tapes , no records just right there. Not all music shows up , but the majority of the time i find what i am looking for. The search could be more easier but perhaps it is my searching technique winking"
57,"Amazon",2016-11-15,4,"Works for me! Works well on my smart phone. Not comparing it to itunes or any other provider As a stand alone product, I use it with Audio CDs purchased and I can download with prime in 5 seconds. I use it daily no measure of sound quality, etc.Simply works for me. Use phone, open Amazon player, hear my music. Grateful!"
59,"Amazon",2017-06-03,5,"Five Stars it is so nice!"
63,"Amazon",2017-08-12,5,"Great choices, works perfect on my phone Great choices, works perfect on my phone"
67,"Amazon",2017-03-15,5,"Five Stars AWESOME"
69,"Amazon",2017-07-21,5,"Five Stars Great"
75,"Amazon",2017-09-01,5,"Five Stars Love it!!!! Move over pandora"
81,"Amazon",2017-05-03,5,"Five Stars love"
82,"Amazon",2015-09-27,5,"Come for the shipping, stay for the free music and movies! AZ keeps adding more reasons to use Prime. This is one of them. Lots of music to hear for free on a variety of devices. Come for the shipping, stay for the music and movies!"
85,"Amazon",2017-06-11,5,"Five Stars Nice"
88,"Amazon",2017-03-13,5,"Five Stars great"
