"Index","Product","Date","Stars","Review"
1,"Amazon",2016-03-28,5,"I like it good than Pandora. love this music app. great selection. good than Pandora. Use it on my Samsung Phone. Not happy however that I cannot seem to get the app on my Samsung Smart TV. I get the Amazon Cloud app but not the Amazon Music App Amazon if someone can contact me about this would greatly appreciate The Amazon Cloud app do not seem intergrated with the Amazon Music app..... thank!"
2,"Amazon",2016-06-30,3,"In order for this to be of value you must use it daily or it be just not worth payhing a year in advance for it. lot of product but I just do not use it enough to justify spend over a dollar 100 dollar a year on this. Plus they make you pay a year in advance and you can not pay monthly which suck. Maybe if they start charge monthly I would sign up again. The free 2 day ship on product be goo think. But I never watch a movie or listen to a song on Amazon."
4,"Amazon",2016-04-27,4,"Glad to be able to get the music a a Prime member Love that you can download music a a Amazon Prime Member. Just be a little confuse for me when it ask certain question on where to store song and also if there be a charge for the song. That be the only reason I do 4 star. I be not quite a tech savy a some of the young people so just would have like a little much explanation. Love have the music though."
11,"Amazon",2014-06-20,4,"Not bad consider its free! Decent service. Love the fact that it be bundle with Prime. make prime a even great bargain! The service itself be.... useable... The music selection be not a vast a other service and the audio quality for some reason be only so so. Love the playlists and the ability to download music for offlilne streamline that be must have for any music stream service. Hopefully artist and content will increase with time. Impossible to give a bad review to free service to Prime subscriber but I would not mind pay a extra few buck a month if the issue note above be address."
20,"Amazon",2013-11-20,5,"Great all the way around Great song sound and great price. Not only all that but you earn a you buy. I earn one song of my choice for buy this cd. and the song you pick automatically just download to any device you want it too. OH first install this MP3 on your device. I install it on my Android phone"
22,"Amazon",2017-07-21,5,"Love this! I can listen anywhere to the music I have already select. Love this!!!"
26,"Amazon",2017-07-15,5,"Five star Good music"
30,"Amazon",2017-05-15,5,"Five star It very good"
31,"Amazon",2017-05-16,5,"I use everyday I love this app"
38,"Amazon",2015-11-06,5,"good part of Prime! good thing for my morning walk with a busy baby and wild husky. I download song at home before I leave so I do not get charge datum by my wireless carrier. For the price of FREE the music selection be amaze. I have music for work out morning walk putting my baby to bed study calm anxiety attack and music to get me though long road trip! a long a Amazon keep this feature we will keep purchase Prime!"
40,"Amazon",2017-03-01,5,"good content. User friendly good content."
43,"Amazon",2017-09-13,5,"Love it! Love it!"
46,"Amazon",2017-09-07,5,"Five star Very easy to use and great selection."
53,"Amazon",2016-03-23,1,"BB no long support I always give great credit to Amazon for do its part to make Android app available for the BlackBerry OS. No long. I have reason to own a BB10 OS device which do have the ability to run Android app but only if the vendor allow the app to be download which in this case Amazon no long allow. I be dump my Amazon Prime subscription and give the money to Spotify."
