"","feature","frequency","rank","docfreq"
"1","love",3360,1,3360
"2","use",3108,2,3108
"3","prime",3105,3,3105
"4","great",2836,4,2836
"5","song",2793,5,2793
"6","can",2470,6,2470
"7","download",2312,7,2312
"8","like",1999,8,1999
"9","work",1930,9,1930
"10","phone",1750,10,1750
"11","play",1715,11,1715
"12","listen",1674,12,1674
"13","good",1514,13,1514
"14","get",1504,14,1504
"15","just",1486,15,1486
"16","free",1240,16,1240
"17","select",1196,17,1196
"18","time",1149,18,1149
"19","want",1050,19,1050
"20","easi",1050,20,1050
"21","cloud",1010,21,1010
"22","playlist",993,22,993
"23","now",913,23,913
"24","one",903,24,903
"25","servic",886,25,886
"26","album",883,26,883
"27","devic",882,27,882
"28","will",864,28,864
"29","purchas",852,29,852
"30","player",832,30,832
"31","don",791,31,791
"32","realli",766,32,766
"33","stream",750,33,750
"34","even",738,34,738
"35","need",730,35,730
"36","make",715,36,715
"37","tri",704,37,704
"38","find",701,38,701
"39","much",695,39,695
"40","new",682,40,682
"41","go",674,41,674
"42","way",664,42,664
"43","better",652,43,652
"44","librari",644,44,644
"45","lot",609,45,609
"46","mp3",602,46,602
"47","awesom",588,47,588
"48","android",587,48,587
"49","well",580,49,580
"50","buy",576,50,576
"51","ve",569,51,569
"52","abl",565,52,565
"53","also",535,53,535
"54","avail",530,54,530
"55","nice",528,55,528
"56","access",526,56,526
"57","updat",524,57,524
"58","artist",514,58,514
"59","enjoy",477,59,477
"60","mani",470,60,470
"61","still",461,61,461
"62","best",460,62,460
"63","everi",454,63,454
"64","problem",454,64,454
"65","star",436,65,436
"66","give",432,66,432
"67","pandora",431,67,431
"68","store",429,68,429
"69","doesn",418,69,418
"70","far",409,70,409
"71","station",405,71,405
"72","keep",400,72,400
"73","thank",399,73,399
"74","day",393,74,393
"75","pay",392,75,392
"76","without",389,76,389
"77","start",380,77,380
"78","look",380,78,380
"79","featur",380,79,380
"80","membership",379,80,379
"81","take",377,81,377
"82","thing",374,82,374
"83","back",372,83,372
"84","option",366,84,366
"85","year",362,85,362
"86","wish",361,86,361
"87","seem",357,87,357
"88","issu",357,88,357
"89","member",356,89,356
"90","list",344,90,344
"91","never",342,91,342
"92","add",335,92,335
"93","card",335,93,335
"94","googl",334,94,334
"95","ad",332,95,332
"96","user",331,96,331
"97","tablet",326,97,326
"98","think",321,98,321
"99","itun",319,99,319
"100","alway",319,100,319
"101","sinc",319,101,319
"102","upload",317,102,317
"103","choic",316,103,316
"104","say",316,104,316
"105","know",315,105,315
"106","got",312,106,312
"107","search",311,107,311
"108","comput",311,108,311
"109","instal",307,109,307
"110","fix",304,110,304
"111","load",292,111,292
"112","varieti",291,112,291
"113","everyth",290,113,290
"114","see",286,114,286
"115","favorit",285,115,285
"116","kindl",284,116,284
"117","crash",283,117,283
"118","pretti",281,118,281
"119","product",279,119,279
"120","first",277,120,277
"121","qualiti",272,121,272
"122","sound",272,122,272
"123","data",271,123,271
"124","version",271,124,271
"125","stop",269,125,269
"126","ever",268,126,268
"127","come",267,127,267
"128","anoth",266,128,266
"129","sd",265,129,265
"130","excel",263,130,263
"131","limit",263,131,263
"132","let",262,132,262
"133","recommend",260,133,260
"134","run",259,134,259
"135","won",255,135,255
"136","allow",254,136,254
"137","pleas",254,137,254
"138","fire",250,138,250
"139","file",243,139,243
"140","chang",240,140,240
