"","quarter","storeprop","crashprop","horribleprop","commercialprop"
"1",2017-04-01,0,0.00854700854700855,0.0170940170940171,0.00854700854700855
"2",2017-07-01,0,0,0.00714285714285714,0.0142857142857143
"3",2016-07-01,0.0145985401459854,0,0,0.0072992700729927
"4",2016-01-01,0.00909090909090909,0.00454545454545455,0.00909090909090909,0
"5",2015-07-01,0.0229357798165138,0,0,0.00917431192660551
"6",2015-01-01,0.0103092783505155,0.0103092783505155,0.00515463917525773,0.0154639175257732
"7",2014-07-01,0.0232558139534884,0.00465116279069767,0.00465116279069767,0
"8",2017-01-01,0,0,0,0
"9",2017-10-01,0.025,0,0,0
"10",2016-04-01,0.0125786163522013,0,0,0.0125786163522013
"11",2014-04-01,0.0384615384615385,0,0.00769230769230769,0.0153846153846154
"12",2016-10-01,0.00740740740740741,0.00740740740740741,0,0.00740740740740741
"13",2015-10-01,0.0111111111111111,0,0.00555555555555556,0.00555555555555556
"14",2014-10-01,0.0123456790123457,0.0123456790123457,0.00823045267489712,0.0164609053497942
"15",2015-04-01,0.0102040816326531,0,0.0153061224489796,0.0153061224489796
"16",2011-07-01,0.1,0,0,0
"17",2011-01-01,0.111111111111111,0,0,0
"18",2014-01-01,0.0148148148148148,0.00740740740740741,0,0.0148148148148148
"19",2013-07-01,0,0,0.012987012987013,0.038961038961039
"20",2012-07-01,0.0652173913043478,0.0434782608695652,0,0
"21",2013-10-01,0.0294117647058824,0,0,0
"22",2013-01-01,0.0365853658536585,0,0,0
"23",2012-10-01,0,0,0,0
"24",2011-10-01,0,0,0,0
"25",2013-04-01,0.0131578947368421,0,0,0.0394736842105263
"26",2012-04-01,0.075,0,0,0
"27",2012-01-01,0,0,0,0
"28",2011-04-01,0,0,0,0
