"","Index","Topic1","Topic2","Topic3","Topic4","Product","Date","Stars","quarter","n","Topic1n","Topic2n","Topic3n","Topic4n","Topic1prop","Topic2prop","Topic3prop","Topic4prop"
"1",1,0,0,1,0,"Amazon",2016-03-28,5,2016-01-01,51,5,18,14,10,0.0980392156862745,0.352941176470588,0.274509803921569,0.196078431372549
"2",11,0,0,0,1,"Amazon",2014-06-20,4,2014-04-01,16,4,5,0,2,0.25,0.3125,0,0.125
"3",61,0,0,1,0,"Amazon",2017-08-23,4,2017-07-01,39,10,7,5,14,0.256410256410256,0.179487179487179,0.128205128205128,0.358974358974359
"4",66,0,1,0,0,"Amazon",2015-07-09,5,2015-07-01,72,15,21,12,20,0.208333333333333,0.291666666666667,0.166666666666667,0.277777777777778
"5",159,1,0,0,0,"Amazon",2016-11-27,4,2016-10-01,42,10,12,6,10,0.238095238095238,0.285714285714286,0.142857142857143,0.238095238095238
"6",176,0,0,0,1,"Amazon",2017-01-08,5,2017-01-01,22,5,7,3,7,0.227272727272727,0.318181818181818,0.136363636363636,0.318181818181818
"7",205,1,0,0,0,"Amazon",2014-07-21,4,2014-07-01,35,13,13,2,6,0.371428571428571,0.371428571428571,0.0571428571428571,0.171428571428571
"8",274,0,1,0,0,"Amazon",2015-12-04,5,2015-10-01,62,7,20,15,19,0.112903225806452,0.32258064516129,0.241935483870968,0.306451612903226
"9",281,0,0,0,1,"Amazon",2016-07-23,4,2016-07-01,68,15,16,15,22,0.220588235294118,0.235294117647059,0.220588235294118,0.323529411764706
"10",313,1,0,0,0,"Amazon",2014-03-04,5,2014-01-01,13,6,1,0,5,0.461538461538462,0.0769230769230769,0,0.384615384615385
"11",364,0,1,0,0,"Amazon",2016-06-07,5,2016-04-01,51,12,15,11,12,0.235294117647059,0.294117647058824,0.215686274509804,0.235294117647059
"12",484,0,0,0,0,"Amazon",2017-06-29,5,2017-04-01,24,11,3,5,4,0.458333333333333,0.125,0.208333333333333,0.166666666666667
"13",699,0,1,0,0,"Amazon",2015-04-15,5,2015-04-01,55,7,23,9,16,0.127272727272727,0.418181818181818,0.163636363636364,0.290909090909091
"14",886,1,0,0,0,"Amazon",2017-10-29,5,2017-10-01,8,3,3,1,1,0.375,0.375,0.125,0.125
"15",1189,0,0,0,0,"Amazon",2015-03-15,5,2015-01-01,26,3,14,2,4,0.115384615384615,0.538461538461538,0.0769230769230769,0.153846153846154
"16",1221,1,0,0,0,"Amazon",2013-02-14,5,2013-01-01,20,9,2,0,9,0.45,0.1,0,0.45
"17",1332,0,0,1,0,"Amazon",2013-11-30,5,2013-10-01,4,1,0,1,1,0.25,0,0.25,0.25
"18",1959,0,0,0,0,"Amazon",2014-12-16,5,2014-10-01,39,11,13,4,6,0.282051282051282,0.333333333333333,0.102564102564103,0.153846153846154
"19",2094,1,0,0,0,"Amazon",2013-05-12,5,2013-04-01,13,10,0,0,2,0.769230769230769,0,0,0.153846153846154
"20",2668,1,0,0,0,"Amazon",2011-03-29,4,2011-01-01,10,7,2,0,0,0.7,0.2,0,0
"21",8147,0,0,0,0,"Amazon",2012-03-03,5,2012-01-01,1,0,0,0,0,0,0,0,0
"22",8522,0,0,0,0,"Amazon",2011-11-10,5,2011-10-01,3,1,0,1,0,0.333333333333333,0,0.333333333333333,0
"23",9204,0,0,0,1,"Amazon",2012-12-16,5,2012-10-01,8,4,0,1,3,0.5,0,0.125,0.375
"24",9385,1,0,0,0,"Amazon",2013-08-03,5,2013-07-01,9,4,1,0,4,0.444444444444444,0.111111111111111,0,0.444444444444444
"25",9856,0,0,0,1,"Amazon",2011-08-23,5,2011-07-01,1,0,0,0,1,0,0,0,1
"26",10252,0,0,0,1,"Amazon",2012-07-05,5,2012-07-01,2,1,0,0,1,0.5,0,0,0.5
"27",10908,1,0,0,0,"Amazon",2011-05-01,5,2011-04-01,6,5,1,0,0,0.833333333333333,0.166666666666667,0,0
